No,Ticker,Company,Country,Sector,Float,ShortInterest,RelVolume,Volume,Price,Change,NewsTime,NewsTitle
1,SOBR,Sobr Safe Inc,USA,Technology,1.21M,0.00M,1990.36,"143,086,701",2.37,82.31%,Dec-24,SOBRsafe Announces $2 Million Private Placement Priced At-The-Market Under Nasdaq Rules
2,DRMA,Dermata Therapeutics Inc,USA,Healthcare,0.75M,0.04M,107.57,"20,981,737",2.37,16.18%,Dec-24,Dermata Therapeutics Announces up to $12.4 Million Private Placement Priced At-The-Market Under Nasdaq Rules
3,EUDA,Euda Health Holdings Limited,Singapore,Real Estate,18.73M,0.04M,27.72,"4,893,711",2.77,44.27%,Dec-23,EUDA Accelerates Longevity Strategy with Launch of Comprehensive Stem Cell Therapy Platform and First Clinic in Shenzhen
4,AMCI,AMC Robotics Corp,USA,Technology,1.09M,0.09M,7.82,"26,482,747",9.35,47.94%,Dec-18,NOTICE TO DISREGARD -- AMC Robotics Corporation
5,INDP,Indaptus Therapeutics Inc,USA,Healthcare,1.69M,0.02M,53.55,"27,951,141",2.65,35.90%,Nov-17,Indaptus Therapeutics Chief Scientific Officer Dr. Michael Newman to Present at the Donor Selection & Cell Source Summit
6,AIFU,AIFU Inc,China,Financial,6.00M,0.01M,8.15,"81,043",2.90,14.85%,Jul-07,AIFU Announces $31.6 Million Non-Brokered Private Placement
